START
,Fresh fruit (A-N),,
,"Flour, buckwheat, wholemeal",g,Free use,-,-,-,-,
,Corn flour,g,Free use,-,-,-,-,
,"Flour, maize",g,Free use,-,-,-,-,
,"Flour, millet",g,Free use,-,-,-,-,
,Quinoa flour,g,Free use,-,-,-,-,
,Reismehl,g,Free use,-,-,-,-,
,Reismehl geröstet,g,Free use,-,-,-,-,
,"Flour, sorghum",g,Free use,-,-,-,-,
,"Flour, spelt, organic, sieved",g,Free use,-,-,-,-,
,"Flour, teff",g,Free use,-,-,-,-,
,"Flour, yam, pounded",g,Free use,-,-,-,-,
,"Starch, corn",g,Free use,-,-,-,-,
,"Starch, maize",g,Free use,-,-,-,-,
,"Starch, potato",g,Free use,-,-,-,-,
,"Starch, tapioca",g,Free use,-,-,-,-,
,Amaranthmehl,r,0  g,x,-,-,-,
,"Flour, barley",r,0  g,x,-,-,-,
,"Flour, einkorn",r,0  g,x,-,-,-,
,Einkornmehl,r,0  g,x,-,-,-,
,"Flour, emmer",r,0  g,x,-,-,-,
,"Flour, Khorasan (kamut), wholewheat flour",r,0  g,x,-,-,-,
,Lupinenmehl,r,0  g,x,-,-,-,
,"Flour, rye",r,0  g,x,-,-,-,
,"Flour, spelt, organic",r,0  g,x,-,-,-,
,"Flour, spelt, white",r,0  g,x,-,-,-,
,"Flour, spelt, wholemeal",r,0  g,x,-,-,-,
,Weizenmehl,r,0  g,x,-,-,-,
,Mandelmehl,y,24  g,x,-,-,-,
